czas;code;val_num;val_str;val_combined
2026-08-24 01:28:12;ac_curr;"0;0";;"0;0"
2026-08-24 01:28:23;tidr;"23;0";;"23;0"
2026-08-24 01:28:33;fault_flag;;False;"0;0"
2026-08-24 01:28:33;protect_flag;;False;"0;0"
2026-08-24 01:28:33;ac_fan;;close;
2026-08-24 01:28:33;freeze;;False;"0;0"
2026-08-24 01:28:33;defrost;;False;"0;0"
2026-08-24 01:28:33;dc_fan2;"0;0";;"0;0"
2026-08-24 01:28:55;back_temp;"17;8";;"17;8"
2026-08-24 01:28:55;m_eev;"480;0";;"480;0"
2026-08-24 01:28:55;dc_fan1;"0;0";;"0;0"
2026-08-24 01:29:40;a_eev;"10;0";;"10;0"
2026-08-24 01:29:40;tank_temp;"43;7";;"43;7"
2026-08-24 01:30:45;pump_sta;;False;"0;0"
2026-08-24 01:30:45;flow_rate;"0;0";;"0;0"
2026-08-24 01:30:45;valve;;False;"0;0"
2026-08-24 01:31:39;tank_temp;"43;4";;"43;4"
2026-08-24 01:31:45;in_water_temp;"18;3";;"18;3"
2026-08-24 01:32:33;disc_temp;"19;1";;"19;1"
2026-08-24 01:32:53;out_water_temp;"19;3";;"19;3"
2026-08-24 01:33:04;tank_temp;"43;7";;"43;7"
2026-08-24 01:33:14;comp_freq;"0;0";;"0;0"
2026-08-24 01:33:14;amb_temp;"12;3";;"12;3"
2026-08-24 01:33:14;ac_curr;"0;0";;"0;0"
2026-08-24 01:33:26;tidr;"23;0";;"23;0"
2026-08-24 01:33:44;fault_flag;;False;"0;0"
2026-08-24 01:33:44;protect_flag;;False;"0;0"
2026-08-24 01:33:44;ac_fan;;close;
2026-08-24 01:33:44;freeze;;False;"0;0"
2026-08-24 01:33:44;defrost;;False;"0;0"
2026-08-24 01:33:44;dc_fan2;"0;0";;"0;0"
2026-08-24 01:34:00;back_temp;"17;7";;"17;7"
2026-08-24 01:34:00;m_eev;"480;0";;"480;0"
2026-08-24 01:34:00;dc_fan1;"0;0";;"0;0"
2026-08-24 01:34:40;a_eev;"10;0";;"10;0"
2026-08-24 01:35:28;tank_temp;"43;4";;"43;4"
2026-08-24 01:35:48;pump_sta;;False;"0;0"
2026-08-24 01:35:48;flow_rate;"0;0";;"0;0"
2026-08-24 01:35:48;valve;;False;"0;0"
2026-08-24 01:36:48;in_water_temp;"18;2";;"18;2"
2026-08-24 01:37:36;disc_temp;"18;9";;"18;9"
2026-08-24 01:37:56;out_water_temp;"19;2";;"19;2"
2026-08-24 01:38:16;comp_freq;"0;0";;"0;0"
2026-08-24 01:38:16;amb_temp;"12;3";;"12;3"
2026-08-24 01:38:16;ac_curr;"0;0";;"0;0"
2026-08-24 01:38:28;tidr;"23;0";;"23;0"
2026-08-24 01:38:44;fault_flag;;False;"0;0"
2026-08-24 01:38:44;protect_flag;;False;"0;0"
2026-08-24 01:38:44;ac_fan;;close;
2026-08-24 01:38:44;freeze;;False;"0;0"
2026-08-24 01:38:44;defrost;;False;"0;0"
2026-08-24 01:38:44;dc_fan2;"0;0";;"0;0"
2026-08-24 01:39:03;back_temp;"17;5";;"17;5"
2026-08-24 01:39:03;m_eev;"480;0";;"480;0"
2026-08-24 01:39:03;dc_fan1;"0;0";;"0;0"
2026-08-24 01:39:06;tidr;"23;1";;"23;1"
2026-08-24 01:39:41;a_eev;"10;0";;"10;0"
2026-08-24 01:40:29;tank_temp;"43;6";;"43;6"
2026-08-24 01:40:49;pump_sta;;False;"0;0"
2026-08-24 01:40:49;flow_rate;"0;0";;"0;0"
2026-08-24 01:40:49;valve;;False;"0;0"
2026-08-24 01:41:50;in_water_temp;"18;1";;"18;1"
2026-08-24 01:42:11;tidr;"23;0";;"23;0"
2026-08-24 01:42:37;disc_temp;"18;7";;"18;7"
2026-08-24 01:42:58;out_water_temp;"19;0";;"19;0"
2026-08-24 01:43:17;comp_freq;"0;0";;"0;0"
2026-08-24 01:43:17;amb_temp;"12;2";;"12;2"
2026-08-24 01:43:17;ac_curr;"0;0";;"0;0"
2026-08-24 01:43:35;tidr;"23;1";;"23;1"
2026-08-24 01:43:53;fault_flag;;False;"0;0"
2026-08-24 01:43:53;protect_flag;;False;"0;0"
2026-08-24 01:43:53;ac_fan;;close;
2026-08-24 01:43:53;freeze;;False;"0;0"
2026-08-24 01:43:53;defrost;;False;"0;0"
2026-08-24 01:43:53;dc_fan2;"0;0";;"0;0"
2026-08-24 01:44:04;back_temp;"17;4";;"17;4"
2026-08-24 01:44:04;m_eev;"480;0";;"480;0"
2026-08-24 01:44:04;dc_fan1;"0;0";;"0;0"
2026-08-24 01:44:41;a_eev;"10;0";;"10;0"
2026-08-24 01:45:32;in_water_temp;"17;9";;"17;9"
2026-08-24 01:45:32;tank_temp;"43;6";;"43;6"
2026-08-24 01:45:52;pump_sta;;False;"0;0"
2026-08-24 01:45:52;flow_rate;"0;0";;"0;0"
2026-08-24 01:45:52;valve;;False;"0;0"
2026-08-24 01:47:41;disc_temp;"18;5";;"18;5"
2026-08-24 01:47:52;tidr;"23;0";;"23;0"
2026-08-24 01:48:00;out_water_temp;"18;9";;"18;9"
2026-08-24 01:48:19;comp_freq;"0;0";;"0;0"
2026-08-24 01:48:19;amb_temp;"12;1";;"12;1"
2026-08-24 01:48:19;ac_curr;"0;0";;"0;0"
2026-08-24 01:48:54;fault_flag;;False;"0;0"
2026-08-24 01:48:54;protect_flag;;False;"0;0"
2026-08-24 01:48:54;ac_fan;;close;
2026-08-24 01:48:54;freeze;;False;"0;0"
2026-08-24 01:48:54;defrost;;False;"0;0"
2026-08-24 01:48:54;dc_fan2;"0;0";;"0;0"
2026-08-24 01:49:03;tank_temp;"43;3";;"43;3"
2026-08-24 01:49:05;back_temp;"17;3";;"17;3"
2026-08-24 01:49:05;m_eev;"480;0";;"480;0"
